﻿Spotify URI,Track Name,Artist Name,Album Name,Game
spotify:track:4iV38lxc0Kp3pN06tm0iKk,Falling Down,Dexter Freebish,A Life Of Saturdays,NHL
spotify:track:21AxXluchvVrfrY1LsnStI,Born Under The Gun,Living Things,Black Skies In Broad Daylight,NHL
spotify:track:3RUy1m2LLhDUoCRdmwnUns,Radio #2,The Ataris,"So Long, Astoria",NHL
spotify:track:6MSwwsgf7erYIeDnpc0aa6,Chapter Four,Avenged Sevenfold,Waking The Fallen (Deluxe Edition),NHL
spotify:track:1NSE5HsBXoyLYCh2Oz2PYB,Co-Dependent,Adema,Unstable,NHL
spotify:track:6ponO7WchGoda7rOttnyCu,Orpheus,Ash,Meltdown,NHL
spotify:track:46qL3OlUy75RjuoxDCquzy,Heart Full Of Black,Burning Brides,Heart Full Of Black,NHL
spotify:track:7v0BIFIBqpe93y51o8ZEYb,Time To Go,Dropkick Murphys,Blackout,NHL
spotify:track:343wkgMyAFKZtZmKW3rWWS,Fool The World,Hazen Street,Hazen Street,NHL
spotify:track:6aY1bWgJBAPRUFXqfcwzRf,Karmageddon,The Soundtrack Of Our Lives,Golden Greats No. 1 (Exclusive Version),NHL
spotify:track:2xNln5r06KzE2ABS4Vq4i2,Lazy Generation - Edited,The F-Ups,The F-Ups,NHL
spotify:track:7kw6yVmdZGuRcWGi4adXYT,Take Me Out,Franz Ferdinand,Franz Ferdinand,NHL
spotify:track:324SjQFKyVhTqGc8JpJtDv,Automatic Girl,Lola Ray,I Don't Know You,NHL
spotify:track:3HvgQ4rIhlhYrl7oFVD0S4,Not Listening,Papa Roach,Getting Away With Murder (International Tour Edition),NHL
spotify:track:1UBqvQDlcfRL0BaknLvn1J,From out of Nowhere,Faith No More,The Real Thing,NHL
spotify:track:0zH2JOtW6cwugaVEWaGjmU,Roshambo,The Network,Money Money 2020 (U.S. PA Version),NHL
spotify:track:3YDc2wWMvXG1J1XRTGpPcR,She Loves Me Not,Papa Roach,To Be Loved: The Best Of Papa Roach (Explicit Version),NHL
spotify:track:6oKI26bh1VZcBe3SQNM2ZT,Deny,Default,The Fallout (Limited Edition),NHL
spotify:track:1TTOAw90zzNWKnUgzzcvZW,Pitiful,Blindside,Silence,NHL
spotify:track:7lZzbvX9109WA4SQmrbee6,I've Been Up These Steps,Gob,Foot In Mouth Disease,NHL
spotify:track:0GpcAPIkP03REPmoDfsnBg,Simple Minded,Dragpipe,Music For The Last Day Of Your Life,NHL
spotify:track:4catOYlPuPtGQ1ZooWqm37,Slow Me Down,Default,The Fallout (Limited Edition),NHL
spotify:track:0YQfhg5OhBajiuMbtQFxPs,Sweetness,Jimmy Eat World,Bleed American (Deluxe Edition),NHL
spotify:track:5VVuxxuQIJD0pjjFls1DKL,No One Knows,Queens of the Stone Age,No One Knows (International Version),NHL
spotify:track:1AEYT6VxrxXPMoQUxsY0E4,Headstrong,Trapt,Trapt,NHL
spotify:track:6kHqWuZ7fKuurYDxeRmhPf,Hundred Million,Treble Charger,Detox,NHL
spotify:track:5kD9T7GForh8LnRz5ClbL8,The Middle,Jimmy Eat World,Bleed American (Deluxe Edition),NHL
spotify:track:5MRnl37NzHpo0qwtvjFeBj,It's Only Me (The Wizard of Magicland),Barenaked Ladies,Disc One: All Their Greatest Hits 1991-2001,NHL
spotify:track:5uqSODNtR9v24h6dEgpoCS,I Hear You Calling,Gob,Foot In Mouth Disease,NHL
spotify:track:4dzOxPZFYX77xpMwv4EhnO,Fat Lip,Sum 41,"All Killer, No Filler",NHL
spotify:track:3fufbknk4HZgu4VGYnX4C2,Makes No Difference,Sum 41,Half Hour Of Power,NHL
spotify:track:4T0knUv1rvSStaAZMq6IAZ,Temptation,The Tea Party,Tangents - The Tea Party Collection,NHL
spotify:track:6RhWsJ7Q4ylMjjV6AjxlMW,American Psycho,Treble Charger,Wide Awake Bored,NHL
spotify:track:21ds3otTAkFwaer06gavOY,Live It Up,Airbourne,Live It Up,NHL
spotify:track:0kRe6heARXjNGlGoVi6Svx,Modern Magic Formula,Biffy Clyro,Opposites (Deluxe),NHL
spotify:track:6kgIzi8apvywnRasZqGaOY,Let The Day Begin,Black Rebel Motorcycle Club,Specter At The Feast,NHL
spotify:track:5jcUBmKzxC49xfovTdJinq,In The End,Black Veil Brides,In the End,NHL
spotify:track:54FOk0YrTvnNOaVknpscN0,Gluttony,Buckcherry,Confessions,NHL
spotify:track:0btZTAxif1xt88EZ5Y1nLq,Riot,Bullet For My Valentine,Temper Temper (Deluxe Version),NHL
spotify:track:31PQjjoBTgmjXYrZO9n6NW,The Boys Are Back,Dropkick Murphys,Signed And Sealed In Blood,NHL
spotify:track:38nG1aEcCAJBcFZ06MpnEo,"Fire, Fire",Heaven's Basement,Filthy Empire,NHL
spotify:track:3wj2b82UWaV47L5zQsD90k,Harlem,New Politics,Harlem,NHL
spotify:track:5S299Ojoe6oepD23UTBYS4,Lanterns,Rise Against,Endgame,NHL
spotify:track:0MsMXSrisarWOSuRAFTmRu,Been Away Too Long,Soundgarden,King Animal,NHL
spotify:track:4juq76lIar8YWOLpYMXUAG,Joker And The Thief,Wolfmother,Wolfmother,NHL
spotify:track:5NhOXmEBbftFMBygv7GhZh,Bring It On Home,The Hellacopters,Rock & Roll Is Dead,NHL
spotify:track:5ciqyuB1G3ulnQsNGmoOE8,Giants,Bear Hands,Distraction,NHL
spotify:track:1fQhJpNkhjWtbafu7PKjYx,Control - Jacob Plant Remix,"Benny Benassi, Gary Go",Control,NHL
spotify:track:241WbNEMRiJuqjYJIqN4Ab,Chain Gang,Close Your Eyes,Prepackaged Hope,NHL
spotify:track:2sQk0fW6AWiYl3GOdOExKa,Trainwreck 1979,Death From Above 1979,Trainwreck 1979,NHL
spotify:track:3Hm56AnDFySYREnBzKrNBF,How Good Does It Feel,Empires,How Good Does It Feel,NHL
spotify:track:1cl8nlRjg4Q2ZjlNnOoZUl,El Dorado,Every Time I Die,From Parts Unknown,NHL
spotify:track:2E43WFS4rRc09za2r2GmZl,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,Save Rock And Roll,NHL
spotify:track:1vtw9tnmmymkFJS2yqBOgy,What I'm Talkin Bout,Franc Wyte,Franc Wyte EP,NHL
spotify:track:1Dv5ZZO9pVzOgUfOYcH78U,TWERK,Heroes x Villains,TWERK,NHL
spotify:track:59iJua476fbi3PbddfPrez,The City,Madeon,The City,NHL
spotify:track:6sS0cYdBJCjTW9pgitwsCk,White Lies,Max Frost,Low High Low,NHL
spotify:track:0SiY70lUH4Lyr47Zo4DtcU,Black Sap Scriptures,Plague Vendor,Free To Eat,NHL
spotify:track:7lYioyxZZDThE5gXM24rva,Sea Of Voices,Porter Robinson,Worlds,NHL
spotify:track:0CM020GEM96jMmVYy3tMFe,Lionheart,PUP,PUP,NHL
spotify:track:332VtPXyj8rEBarpMT3mI4,Come and Get It,Summer of '69,One for the Road,NHL
spotify:track:32sgKP55X4g8PNDmxwlEpP,Forget About The Trouble,the Graveltones,Don't Wait Down,NHL
spotify:track:6JFiiJgKjz9kbcQN6wQsrJ,Fisting The Fan Base,The Night Marchers,Allez Allez,NHL
spotify:track:7ii7UyUZdA8BxEoRleO9lW,Odyssey,No Wyld,Abstract EP,NHL
spotify:track:35iV6DJvwgbiNOaXg4PcpD,From Where You Are,Wolf Rider,From Where You Are,NHL
spotify:track:1KDYN3odJHnj9pqGHN3FVs,My Body,Young the Giant,Young the Giant (Special Edition),NHL
spotify:track:7KkJ968KdTGRmhbKvcsXTG,Dead But Rising,Volbeat,Outlaw Gentlemen & Shady Ladies (Deluxe Version),NHL
spotify:track:6urR6DTW4QeC41JHaG36pM,Grace,"Apocalyptica, HOTEI",Worlds Collide,NHL
spotify:track:3QO8W45i5w0WJF8AQtY1KN,This Is the End (For You My Friend),Anti-Flag,For Blood And Empire,NHL
spotify:track:6rEr7AsF3cmfUR3birakRF,Twilight Zone,2 Unlimited,Unlimited Hits & Remixes,NHL
spotify:track:3wJDoYAjOrF7DczuwljXbc,Golden Years,Disco Ensemble,Back On The MF Street,NHL
spotify:track:0ChpoNjXfJPjMvCIN6so6J,Memory,Sugarcult,Palm Trees and Power Lines,NHL
spotify:track:2XzxsUaQY3XASxOanctPKu,Whistleblower,Arkells,Michigan Left,NHL
spotify:track:4oC8pe581whBsRuxhGsKSQ,Just Got To Be,The Black Keys,Magic Potion,NHL
spotify:track:1juX6jryYxQbRBGOsbmx1j,Switchback,Celldweller,Celldweller,NHL
spotify:track:0qS4uqXel29arSGdRq8BAX,Stay with Me (Unlikely),Celldweller,Celldweller 10 Year Anniversary Deluxe Edition,NHL
